,,,,,,,Casting,,,,,,,,,,,,,,,Ability,,,,,,Saving Throws,,,,,,,,
Follgast,Explorer,11,30,14,+3,+6,,,,,,,,,,,,,,,,10,16,12,12,10,14,0,+9,+1,+7,0,+2,"Darkvision,Fey Ancestry,Opportunity Attack",,
Follgast,Tactician,11,57,14,+3,+4,,,,,,,,,,,,,,,,10,16,12,12,10,14,0,+7,+1,+5,0,+2,"Darkvision,Fey Ancestry,Opportunity Attack",,
Mind Master Fonmara,Balanced,5,38,12,+1,+3,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+6,+4,0,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Mind Master Fonmara,Tactician,5,49,12,+1,+3,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+6,+4,0,"Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision",,
Gish For'reth,Balanced,5,53,16,+1,+3,,,,,,,,,,,,,,,,15,12,16,16,15,16,+2,+1,+6,+6,+5,+3,"Githyanki War Magic,Opportunity Attack",,
Gish For'reth,Explorer,5,37,16,+1,+5,,,,,,,,,,,,,,,,15,12,16,16,15,16,+2,+1,+8,+8,+7,+3,"Githyanki War Magic,Opportunity Attack",,
Gish For'reth,Tactician,5,68,16,+1,+3,,,,,,,,,,,,,,,,15,12,16,16,15,16,+2,+1,+6,+6,+5,+3,"Githyanki War Magic,Opportunity Attack,Psionic Empowerment,War Caster: Concentration,War Caster: Opportunity Spell",,
Cashguard Basher Forstum,Balanced,9,85,19,+1,+4,,,,,,,,,,,,,,,,18,12,14,10,12,15,+6,+3,+5,+2,+7,+8,"Charger,Divine Health,Extra Attack,Opportunity Attack,Tenacity",Aura of Protection,
Cashguard Basher Forstum,Explorer,9,59,19,+1,+6,,,,,,,,,,,,,,,,18,12,14,10,12,15,+6,+3,+5,+2,+9,+10,"Charger,Divine Health,Extra Attack,Opportunity Attack,Tenacity",Aura of Protection,
Cashguard Basher Forstum,Tactician,9,110,19,+1,+4,,,,,,,,,,,,,,,,18,12,14,10,12,15,+6,+3,+5,+2,+7,+8,"Charger,Divine Health,Extra Attack,Opportunity Attack,Tenacity",Aura of Protection,
Fortuno Dibbs,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fortuno Dibbs,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fortuno Dibbs,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Four,Balanced,1,6,11,0,+2,,,,,,,,,,,,,,,,6,10,10,10,6,8,-2,0,0,0,-2,-1,"Darkvision,Opportunity Attack",,
Four,Explorer,1,4,11,0,+4,,,,,,,,,,,,,,,,6,10,10,10,6,8,-2,0,0,0,-2,-1,"Darkvision,Opportunity Attack",,
Four,Tactician,1,7,11,0,+2,,,,,,,,,,,,,,,,6,10,10,10,6,8,-2,0,0,0,-2,-1,"Darkvision,Fury of the Small,Opportunity Attack",,
Franc Peartree,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,Dead,
Franc Peartree,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,Dead,
Franc Peartree,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,Dead,
Sister Franchot,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Sister Franchot,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Sister Franchot,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Abducted Nobleman,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,Dead,
Abducted Nobleman,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,Dead,
Abducted Nobleman,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,Dead,
Harper Freddo,Balanced,8,59,12,+1,+3,,,,,,,,,,,,,,,,10,12,14,11,18,10,0,+1,+2,+3,+7,0,"Brave,Halfling Luck,Opportunity Attack",,
Harper Freddo,Explorer,8,41,12,+1,+5,,,,,,,,,,,,,,,,10,12,14,11,18,10,0,+1,+2,+5,+9,0,"Brave,Halfling Luck,Opportunity Attack",,
Harper Freddo,Tactician,8,76,12,+1,+3,,,,,,,,,,,,,,,,10,12,14,11,18,10,0,+1,+2,+3,+7,0,"Brave,Halfling Luck,Opportunity Attack",,
Sentry Fredrichk,Balanced,7,48,18,+2,+3,,,,,,,,,,,,,,,,18,14,12,12,10,12,+7,+2,+4,+1,0,+1,"Opportunity Attack,Extra Attack,Brave,Halfling Luck,Shadow Ambush,Born into Darkness",,
Sentry Fredrichk,Explorer,7,33,18,+2,+5,,,,,,,,,,,,,,,,18,14,12,12,10,12,+9,+2,+6,+1,0,+1,"Opportunity Attack,Extra Attack,Brave,Halfling Luck,Shadow Ambush,Born into Darkness",,
Sentry Fredrichk,Tactician,7,62,18,+2,+3,,,,,,,,,,,,,,,,18,14,12,12,10,12,+7,+2,+4,+1,0,+1,"Opportunity Attack,Extra Attack,Brave,Halfling Luck,Shadow Ambush,Born into Darkness",,
Freida Oberon,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Freida Oberon,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Freida Oberon,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,,,
Gondian Frell Olsin,Balanced,8,67,13,+1,+3,,,,,,,,,,,,,,,,8,13,16,18,10,12,-1,+1,+3,+4,0,+1,Opportunity Attack,,
Gondian Frell Olsin,Explorer,8,46,13,+1,+5,,,,,,,,,,,,,,,,8,13,16,18,10,12,-1,+1,+3,+4,0,+1,Opportunity Attack,,
Gondian Frell Olsin,Tactician,8,87,13,+1,+3,,,,,,,,,,,,,,,,8,13,16,18,10,12,-1,+1,+3,+4,0,+1,Opportunity Attack,,
Saer Frenello,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Saer Frenello,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Saer Frenello,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Boss Friol,Balanced,11,109,17,+5,+4,,,,,,,,,,,,,,,,11,20,13,14,16,16,0,+5,+1,+2,+3,+3,"Darkvision,Evasion,Gnome Cunning,Opportunity Attack,Reliable Talent,Shortened Stride,Stealthy,Uncanny Dodge",,
Fist of Bane Frode,Balanced,10,62,18,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Fist of Bane Frode,Explorer,10,43,18,0,+6,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Fist of Bane Frode,Tactician,10,80,18,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Frothilda,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Frothilda,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Frothilda,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Saer Frunilla,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Saer Frunilla,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Saer Frunilla,Tactician,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Watchman Fry,Balanced,10,84,18,+2,+4,,,,,,,,,,,,,,,,18,14,15,11,10,12,+8,+2,+6,0,0,+1,"Great Weapon Master: All In,Great Weapon Master: Bonus Attack,Extra Attack,Great Weapon Fighting,Opportunity Attack",,
Watchman Fry,Explorer,10,58,18,+2,+6,,,,,,,,,,,,,,,,18,14,15,11,10,12,+10,+2,+8,0,0,+1,"Great Weapon Master: All In,Great Weapon Master: Bonus Attack,Extra Attack,Great Weapon Fighting,Opportunity Attack",,
Watchman Fry,Tactician,10,109,18,+2,+4,,,,,,,,,,,,,,,,18,14,15,11,10,12,+8,+2,+6,0,0,+1,"Great Weapon Master: All In,Great Weapon Master: Bonus Attack,Extra Attack,Great Weapon Fighting,Opportunity Attack",,
Fuffi Fuffers,Balanced,2,18,10,+3,+2,,,,,,,,,,,,,,,,11,16,13,12,12,10,0,+3,+1,+1,+1,0,"Gnome Cunning,Opportunity Attack,Shortened Stride,Stone Camouflage,Superior Darkvision",,
Ironshield Fulguro,Balanced,10,18,10,+3,+4,,,,,,,,,,,,,,,,11,16,13,12,12,10,0,+3,+1,+1,+1,0,"Gnome Cunning,Opportunity Attack,Shortened Stride,Stone Camouflage,Superior Darkvision",,
Funglesby,Balanced,8,60,15,+4,+3,,,,,,,,,,,,Full Resistance,,,,12,18,12,10,16,12,+4,+7,+1,0,+3,+1,"Companion's Bond,Darkvision,Dwarven Resilience,Exceptional Training,Extra Attack,Mage Breaker,Opportunity Attack,Wasteland Wanderer: Poison",,
Funglesby,Explorer,8,42,15,+4,+5,,,,,,,,,,,,Full Resistance,,,,12,18,12,10,16,12,+6,+9,+1,0,+3,+1,"Companion's Bond,Darkvision,Dwarven Resilience,Exceptional Training,Extra Attack,Mage Breaker,Opportunity Attack,Wasteland Wanderer: Poison",,
Funglesby,Tactician,8,78,15,+4,+3,,,,,,,,,,,,Full Resistance,,,,12,18,12,10,16,12,+4,+7,+1,0,+3,+1,"Companion's Bond,Darkvision,Dwarven Resilience,Exceptional Training,Extra Attack,Mage Breaker,Opportunity Attack,Wasteland Wanderer: Poison",,
Furbleston,Balanced,3,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Adept Furek,Balanced,8,58,15,+1,+3,,,,,,,,,,,,,Full Resistance,,,13,12,16,10,18,10,+1,+1,+3,0,+7,+3,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",Death Ward,
Adept Furek,Explorer,8,40,15,+1,+5,,,,,,,,,,,,,Full Resistance,,,13,12,16,10,18,10,+1,+1,+3,0,+9,+5,"Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",Death Ward,
Adept Furek,Tactician,8,75,15,+1,+3,,,,,,,,,,,,,Full Resistance,,,13,12,16,10,18,10,+1,+1,+3,0,+7,+3,"Channel Divinity: War God's Blessing,Darkvision,Fey Ancestry,Opportunity Attack,Sunlight Sensitivity",Death Ward,
Fuschia Vineshoot,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Fuschia Vineshoot,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Fuschia Vineshoot,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Death's Head of Bhaal Fustian,Balanced,8,76,15,+5,+3,,,,,,,,,,,,,,,,20,20,20,14,13,16,+5,+5,+5,+2,+1,+3,"Darkvision,Extra Attack,Magic Resistance,Murder Hungry,Opportunity Attack,Prey Upon the Weak","Aura of Murder,Unstoppable",
Death's Head of Bhaal Fustian,Explorer,8,53,15,+5,+5,,,,,,,,,,,,,,,,20,20,20,14,13,16,+5,+5,+5,+2,+1,+3,"Darkvision,Extra Attack,Magic Resistance,Murder Hungry,Opportunity Attack,Prey Upon the Weak","Aura of Murder,Unstoppable",
Death's Head of Bhaal Fustian,Tactician,8,98,15,+5,+3,,,,,,,,,,,,,,,,20,20,20,14,13,16,+5,+5,+5,+2,+1,+3,"Darkvision,Extra Attack,Magic Resistance,Murder Hungry,Opportunity Attack,Prey Upon the Weak,Sentinel: Opportunity Advantage,Sentinel: Snare,Sentinel: Vengeance","Aura of Murder,Unstoppable",
Fyl Baragezian,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fyl Baragezian,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fyl Baragezian,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fyodor,Balanced,3,27,14,+2,+2,,,,,,,,,,,,,,,,15,14,13,8,11,9,+2,+2,+1,-1,0,-1,"Brute,Darkvision,Opportunity Attack,Savage Attacker",,
Fyodor,Tactician,3,35,14,+2,+2,,,,,,,,,,,,,,,,15,14,13,8,11,9,+2,+2,+1,-1,0,-1,"Brute,Darkvision,Opportunity Attack,Savage Attacker",,
Fyrd Nuugh,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fyrd Nuugh,Explorer,1,6,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fyrd Nuugh,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Fytz the Firecracker,Balanced,1,8,10,0,+2,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Fytz the Firecracker,Explorer,1,5,10,0,+4,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
Fytz the Firecracker,Tactician,1,10,10,0,+2,,,,,,,,,,,,Full Resistance,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Dwarven Resilience,Opportunity Attack",,
High Gish'ra G'imre,Balanced,9,76,17,+4,+4,,,,,,,,,,,,,,,,14,19,16,15,17,13,+6,+8,+3,+2,+3,+1,"Advanced Unarmoured Movement,Deflect Missiles,Evasion,Extra Attack,Ki-Empowered Strikes,Martial Arts: Bonus Unarmed Strike,Martial Arts: Dextrous Attacks,Martial Arts: Deft Strikes,Opportunity Attack,Psionic Empowerment,Slow Fall,Stillness of Mind,Unarmoured Defence (Monk),Unarmoured Movement",Astral Gravity,
High Gish'ra G'imre,Explorer,9,53,17,+4,+6,,,,,,,,,,,,,,,,14,19,16,15,17,13,+8,+10,+3,+2,+3,+1,"Advanced Unarmoured Movement,Deflect Missiles,Evasion,Extra Attack,Ki-Empowered Strikes,Martial Arts: Bonus Unarmed Strike,Martial Arts: Dextrous Attacks,Martial Arts: Deft Strikes,Opportunity Attack,Psionic Empowerment,Slow Fall,Stillness of Mind,Unarmoured Defence (Monk),Unarmoured Movement",Astral Gravity,
High Gish'ra G'imre,Tactician,9,98,17,+4,+4,,,,,,,,,,,,,,,,14,19,16,15,17,13,+6,+8,+3,+2,+3,+1,"Advanced Unarmoured Movement,Deflect Missiles,Evasion,Extra Attack,Ki-Empowered Strikes,Martial Arts: Bonus Unarmed Strike,Martial Arts: Dextrous Attacks,Martial Arts: Deft Strikes,Opportunity Attack,Psionic Empowerment,Slow Fall,Stillness of Mind,Unarmoured Defence (Monk),Unarmoured Movement",Astral Gravity,
Ardent G'nuril,Balanced,5,28,12,+2,+3,,,,,,,,,,,,,,,,10,14,16,16,14,10,0,+2,+6,+6,+5,0,"Extra Attack,Opportunity Attack",,
Ardent G'nuril,Tactician,5,36,12,+2,+3,,,,,,,,,,,,,,,,10,14,16,16,14,10,0,+2,+6,+6,+5,0,"Extra Attack,Opportunity Attack,Potent Cantrip,Psionic Empowerment",,
Raider G'r'ath,Balanced,5,32,15,+3,+3,,,,,,,,,,,,,,,,10,17,14,10,12,10,+3,+3,+5,0,+1,0,"Crossbow Expert: Point-Blank,Crossbow Expert: Wounding,Extra Attack,Opportunity Attack",,
Raider G'r'ath,Explorer,5,22,15,+3,+5,,,,,,,,,,,,,,,,10,17,14,10,12,10,+5,+3,+7,0,+1,0,"Crossbow Expert: Point-Blank,Crossbow Expert: Wounding,Extra Attack,Opportunity Attack",,
Raider G'r'ath,Tactician,5,41,15,+3,+3,,,,,,,,,,,,,,,,10,17,14,10,12,10,+3,+3,+5,0,+1,0,"Archery,Crossbow Expert: Point-Blank,Crossbow Expert: Wounding,Extra Attack,Opportunity Attack,Psionic Empowerment",,
Gable,Balanced,,5,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Gable,Explorer,,3,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Gable,Tactician,,6,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Gaff Garsem,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Gaff Garsem,Explorer,1,3,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Gaff Garsem,Tactician,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Gaheid Slickjaw,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Opportunity Attack,Toggle Non-Lethal Attacks",,
Gaheid Slickjaw,Explorer,1,16,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,+4,+4,+4,+4,+4,+4,"Opportunity Attack,Toggle Non-Lethal Attacks",,
Fist Gai,Balanced,8,55,16,+5,+3,,,,,,,,,,,,,,,,12,21,14,8,14,10,+4,+8,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Fist Gai,Explorer,8,51,16,+5,+5,,,,,,,,,,,,,,,,12,21,14,8,14,10,+6,+10,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Fist Gai,Tactician,8,58,16,+5,+3,,,,,,,,,,,,,,,,12,21,14,8,14,10,+4,+8,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Sapper Gald,Balanced,2,18,12,+2,+2,,,,,,,,,,,,,,,,10,14,12,8,8,8,0,+2,+1,-1,-1,-1,"Darkvision,Opportunity Attack",Death Wish,
Sapper Gald,Explorer,2,12,12,+2,+4,,,,,,,,,,,,,,,,10,14,12,8,8,8,0,+2,+1,-1,-1,-1,"Darkvision,Opportunity Attack",Death Wish,
Sapper Gald,Tactician,2,27,12,+2,+2,,,,,,,,,,,,,,,,10,14,12,8,8,8,0,+2,+1,-1,-1,-1,"Darkvision,Fury of the Small,Mobile: Evade Difficult Terrain,Opportunity Attack",Death Wish,
Gale,Balanced,1,8,11,+1,+2,,,,,,,,,,,,,,,,8,13,15,17,10,12,-1,+1,+2,+5,+2,+1,,,
Galem Meats,Balanced,5,36,14,0,+3,,,,,,,,,,,,,,,,18,10,18,10,10,10,+7,0,+7,0,0,0,"Extra Attack,Opportunity Attack",,
Galem Meats,Explorer,5,25,14,0,+5,,,,,,,,,,,,,,,,18,10,18,10,10,10,+9,0,+9,0,0,0,"Extra Attack,Opportunity Attack",,
Galem Meats,Tactician,5,46,14,0,+3,,,,,,,,,,,,,,,,18,10,18,10,10,10,+7,0,+7,0,0,0,"Extra Attack,Opportunity Attack",,
Cashguard Galleass,Balanced,9,76,19,+4,+4,,,,,,,,,,,,,,,,14,18,13,10,10,10,+6,+8,+2,0,0,0,"Mobile: Evade Difficult Terrain,Mobile: Evade Opportunity Attack,Extra Attack,Mobile,Opportunity Attack",,
Cashguard Galleass,Explorer,9,53,19,+4,+6,,,,,,,,,,,,,,,,14,18,13,10,10,10,+8,+10,+2,0,0,0,"Mobile: Evade Difficult Terrain,Mobile: Evade Opportunity Attack,Extra Attack,Mobile,Opportunity Attack",,
Cashguard Galleass,Tactician,9,98,19,+4,+4,,,,,,,,,,,,,,,,14,18,13,10,10,10,+6,+8,+2,0,0,0,"Mobile: Evade Difficult Terrain,Mobile: Evade Opportunity Attack,Extra Attack,Mobile,Opportunity Attack",,
Gan,Balanced,1,5,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance",,
Gan,Explorer,1,3,10,0,+4,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance",,
Gan,Tactician,1,6,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance",,
Gandrel,Balanced,5,64,15,+4,+3,,,,,,,,,,,,,,,,16,18,16,12,16,10,+6,+7,+3,+1,+3,0,"Extra Attack,Feller of Monsters,Opportunity Attack,Scar of Fury",,
Gandrel,Explorer,5,44,15,+4,+5,,,,,,,,,,,,,,,,16,18,16,12,16,10,+8,+9,+3,+1,+3,0,"Extra Attack,Feller of Monsters,Opportunity Attack,Scar of Fury",,
Gandrel,Tactician,5,83,15,+4,+3,,,,,,,,,,,,,,,,16,18,16,12,16,10,+6,+7,+3,+1,+3,0,"Extra Attack,Feller of Monsters,Opportunity Attack,Scar of Fury,Scar of the Dunes",,
Bosun Gannet,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bosun Gannet,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bosun Gannet,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Garias,Balanced,4,28,14,+3,+2,,,,,,,,,,,,,,,,12,16,12,12,14,10,+1,+3,+1,+1,+2,+2,Opportunity Attack,,
Garias,Explorer,4,19,14,+3,+4,,,,,,,,,,,,,,,,12,16,12,12,14,10,+1,+3,+1,+1,+2,+4,Opportunity Attack,,
Garias,Tactician,4,36,14,+3,+2,,,,,,,,,,,,,,,,12,16,12,12,14,10,+1,+3,+1,+1,+2,+2,Opportunity Attack,,
Night Blade Garithon,Balanced,3,28,12,+2,+2,,,,,,,,,,,,,,,,11,15,12,10,11,14,0,+2,+1,0,0,+2,"Darkvision,Opportunity Attack",Aura of Murder,
Night Blade Garithon,Explorer,3,19,12,+2,+4,,,,,,,,,,,,,,,,11,15,12,10,11,14,0,+2,+1,0,0,+2,"Darkvision,Opportunity Attack",Aura of Murder,
Night Blade Garithon,Tactician,3,36,12,+2,+2,,,,,,,,,,,,,,,,11,15,12,10,11,14,0,+2,+1,0,0,+2,"Darkvision,Opportunity Attack",Aura of Murder,
Iron Consul Garmin,Balanced,11,93,18,0,+4,,,,,,,,,,,,,,,,20,11,16,10,15,16,+5,0,+3,0,+6,+3,"Opportunity Attack,Extra Attack,Tactical Discipline",,
Iron Consul Garmin,Explorer,11,65,18,0,+6,,,,,,,,,,,,,,,,20,11,16,10,15,16,+5,0,+3,0,+8,+3,"Opportunity Attack,Extra Attack,Tactical Discipline",,
Iron Consul Garmin,Tactician,11,120,18,0,+4,,,,,,,,,,,,,,,,20,11,16,10,15,16,+5,0,+3,0,+6,+3,"Opportunity Attack,Extra Attack,Tactical Discipline",,
Garmor,Balanced,4,52,14,+1,+2,,,,,,,,,,,,Full Resistance,,,,16,12,16,10,12,12,+5,+1,+5,0,+1,+1,"Danger Sense,Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision,Unarmoured Defence (Barbarian)",,
Garmor,Explorer,4,36,14,+1,+4,,,,,,,,,,,,Full Resistance,,,,16,12,16,10,12,12,+7,+1,+7,0,+1,+1,"Danger Sense,Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision,Unarmoured Defence (Barbarian)",,
Garmor,Tactician,4,67,14,+1,+2,,,,,,,,,,,,Full Resistance,,,,16,12,16,10,12,12,+5,+1,+5,0,+1,+1,"Danger Sense,Duergar Resilience,Dwarven Resilience,Opportunity Attack,Sunlight Sensitivity,Superior Darkvision,Unarmoured Defence (Barbarian)",,
Garrett,Balanced,1,6,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Garrett,Explorer,1,4,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Garrett,Tactician,1,7,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Garri Orne,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Garri Orne,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Garri Orne,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Fey Ancestry,Opportunity Attack",,
Sharran Novice Garrigan,Balanced,4,38,13,+2,+2,,,,,,,,,,,,,,,,18,15,15,12,13,13,+6,+2,+4,+1,+1,+1,"Opportunity Attack,Darkvision,Gnome Cunning,Shortened Stride,Shadow Ambush,Born into Darkness",,
Sharran Novice Garrigan,Explorer,4,26,13,+2,+4,,,,,,,,,,,,,,,,18,15,15,12,13,13,+8,+2,+6,+1,+1,+1,"Opportunity Attack,Darkvision,Gnome Cunning,Shortened Stride,Shadow Ambush,Born into Darkness",,
Sharran Novice Garrigan,Tactician,4,49,13,+2,+2,,,,,,,,,,,,,,,,18,15,15,12,13,13,+6,+2,+4,+1,+1,+1,"Opportunity Attack,Darkvision,Gnome Cunning,Shortened Stride,Shadow Ambush,Born into Darkness",,
