Name,Image,Location,Type,Rarity,Armour Type,Weight,Cost,AC,AC Mod,AC Bonus,No Crit,Resistances,Vulnerability,Skill,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Spells,Level,Recharge,Features,Ability,Ability Bonus,Max Ability,AR Types,AR Bonus,AR Factor,Movement,Conditions,Act,Description,,Armour,Armour|Clothing,Headwear,Footwear,Cloak,Ring,Amulet,Shield,Handwear
Flawed Helldusk Helmet,,,Headwear,Rare,Medium,1.0kg,300,,,,FALSE,,,,,,CON,1,,,,,Magical Durability (Flawed Helldusk Helmet),,,,,,,,,2,Flawed Helldusk Helmet is a rare Helmet crafted from Infernal Iron that improves the wearer's saving throws against spells by 2.,,,,,,,,,,
Steelwatcher Helmet,,,Headwear,Rare,Medium,1.0kg,300,,,,FALSE,,,,,,CON,,ADV,,,,Artificial Sight,,,,,,,,,3,Steelwatcher Helmet is a rare Helmet that grants the wearer Darkvision and immunity to Blindness. It also grants Advantage on Constitution Saving Throws.,,,,,,,,,,
Dark Justiciar Helmet,,,Headwear,Very Rare,Medium,1.0kg,1600,,,,FALSE,,,,,,CON,1,,,,,"Magical Durability (+1), Covert Critical",,,,,,,,,2,The Dark Justiciar Helmet is a very rare Helmet that improves the wearer's Saving Throws against Spells and makes Critical Hits more likely while the wearer is obscured by darkness.,,,,,,,,,,
Sarevok's Horned Helmet,,,Headwear,Very Rare,Medium,2.0kg,1600,,,,FALSE,,,,,,,,,,,,"Deathbringer's Sight, Dauntless",,,,,,,,,3,Sarevok's Horned Helmet is a very rare Headwear that grants Darkvision to its wearer and increases critical hit chance. You also cannot be Frightened.,,,,,,,,,,
Helm of Balduran,,,Headwear,Story Item,Medium,2.0kg,760,,,,TRUE,,,,,,,,,,,,"Balduran's Vitality, Balduran's Favour, Stun Immunity",,,,,,,,,3,"Helm of Balduran is a legendary Headwear once worn by the fabled founder of Baldur's Gate, Balduran, and grants hit points every turn along with stun and critical hit immunities.",,,,,,,,,,
Grymskull Helm,,,Headwear,Very Rare,Heavy,1.0kg,570,,,,TRUE,Fire,,,,,,,,Hunter's Mark,1,Long Rest,,,,,,,,,,1,The Grymskull Helm is a very rare helmet that grants fire resistance and protects its wearer from critical hits. It also grants the Hunter's Mark spell.,,,,,,,,,,
Bracing Band,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Personal Space,,,,,,,,,1,The Bracing Band is an uncommon Ring which makes the wearer more difficult to hit after they shove an enemy.,,,,,,,,,,
Callous Glow Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Callous Glow,,,,,,,,,2,Callous Glow Ring is an uncommon Ring that causes the wearer to deal an additional 2 Radiant damage to illuminated creatures every time they deal damage.,,,,,,,,,,
Caustic Band,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Malefic Excretion,,,,,,,,,1,Caustic Band is an uncommon Ring that grants the wearer 2 Acid damage with weapon attacks.,,,,,,,,,,
Coruscation Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Arcane Radiance,,,,,,,,,2,Coruscation Ring is an uncommon ring that inflicts  Radiating Orb on creatures that the wearer deals spell damage to. The wearer must be illuminated for this effect to occur.,,,,,,,,,,
Crusher's Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,,,,,,,,3,,1,Crusher's Ring is an uncommon Ring which grants additional speed to the wearer.,,,,,,,,,,
Djinni Ring,,,Ring,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Mage Hand,,Short Rest,,,,,,,,,,3,Djinni Ring is an uncommon Ring that grants its wearer the ability to cast Mage Hand.,,,,,,,,,,
Eversight Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Blind Immunity,,,,,,,,,2,Eversight Ring is an uncommon Ring that imparts immunity to  Blindness upon the wearer.,,,,,,,,,,
Explorer's Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,"Nature, Survival",1,,,,,,,,,,,,,,,,,1,The Explorer's Ring is an uncommon Ring that improves the wearer's knowledge of Nature and Survival.,,,,,,,,,,
Family Ring,,,Ring,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,,,,,,,,,,2,The Family Ring is an uncommon Ring that grants +2 to Death Saving Throws.,,,,,,,,,,
Firzu's Ring of Trading,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,Deception,1,,,,,,,,,,,,,,,,,2,Firzu's Ring of Trading is an uncommon Ring that grants +1 to Deception.,,,,,,,,,,
Guild Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,,,,,,,,,,3,Guild Ring is a story-related Ring found in Act 3.,,,,,,,,,,
Mage's Friend,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,"Arcana, Religion",1,,,,,,,,,,,,,,,,,1,Mage's Friend is an uncommon Ring that improves the wearer's knowledge of Arcana and Religion.,,,,,,,,,,
Poisoner's Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,Virulent Venom,,,,,,,,,,,,2,The Poisoner's Ring is an uncommon Ring which allows the wearer to cast Virulent Venom.,,,,,,,,,,
Ring of Absolute Force,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,Thunderwave,1,Short Rest,Absolute's Tempest,,,,,,,,,1,The Ring of Absolute Force is an uncommon Ring that allows the wearer to cast the  Thunderwave spell and deal 1 additional thunder damage if they have the Absolute's Brand.,,,,,,,,,,
Ring of Colour Spray,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,Colour Spray,1,Short Rest,,,,,,,,,,1,Ring of Colour Spray is an uncommon Ring which allows the wearer to cast  Colour Spray once per short rest.,,,,,,,,,,
Ring of Elemental Infusion,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Elemental Infusion,,,,,,,,,2,"The Ring of Elemental Infusion is an uncommon Ring that infuses your weapon with the element of your spells or cantrips, dealing additional damage.",,,,,,,,,,
Ring of Flinging,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Throwing Boost,,,,,,,,,1,Ring of Flinging is an uncommon Ring that improves the throwing damage.,,,,,,,,,,
Ring of Geniality,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,"Persuasion, Deception",1,,,,,,,,,,,,,,,,,2,Ring of Geniality is an uncommon Ring that grants a boost to Persuasion and Deception.,,,,,,,,,,
Ring of Jumping,,,Ring,Uncommon,Non-Armour,0.1kg,55,,,,FALSE,,,,,,,,,Enhance Leap,1,Short Rest,,,,,,,,,,1,Ring of Jumping is an uncommon Ring that grants the wearer the ability to cast Enhance Leap once per Short Rest.,,,,,,,,,,
Ring of Mental Inhibition,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Mental Inhibition,,,,,,,,,2,Ring of Mental Inhibition is an uncommon Ring that places a mentally weakening condition on enemies who fail to Save against spells and abilities.,,,,,,,,,,
Ring of Salving,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Saviour's Allure,,,,,,,,,1,The Ring of Salving is an uncommon Ring that restore addtional hit points every time the wearer heals another creature.,,,,,,,,,,
Ring of Self Immolation,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,Self Immolation,,Short Rest,,,,,,,,,,2,The Ring of Self Immolation is an uncommon Ring that grants its wearer the ability to use the Self Immolation ability to gain the  Heat condition.,,,,,,,,,,
Ring of Shadows,,,Ring,Uncommon,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,Pass Without Trace,2,Long Rest,,,,,,,,,,2,The Ring of Shadows is an uncommon Ring that grants its wearer the ability to cast  Pass Without Trace once per Long Rest.,,,,,,,,,,
Ring of Spiteful Thunder,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Spiteful Thunder,,,,,,,,,2,The Ring of Spiteful Thunder is a uncommon Ring that may  Daze Reverberating creatures upon which the wearer deals ⁠Thunder damage.,,,,,,,,,,
Seemingly Gleaming Ring,,,Ring,Uncommon,Non-Armour,0.1kg,45,,,,FALSE,,,,,,CHA,1,,,,,,,,,,,,,,3,Seemingly Gleaming Ring is an uncommon Ring that grants +1 to Charisma Saving Throws and a -1 to Wisdom Saving Throws.,,,,,,,,,,
Shadow Blade Ring,,,Ring,Uncommon,Non-Armour,0.1kg,105,,,,FALSE,,,,,,,,,Shadow Blade,2,Short Rest,,,,,,,,,,2,Shadow Blade Ring is an uncommon Ring that grants its wearer the ability to cast Shadow Blade. It is a reward for completing the quest Find Arabella's Parents.,,,,,,,,,,
Shadow-Cloaked Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Shadowthief,,,,,,,,,2,The Shadow-Cloaked Ring is an uncommon Ring that causes the wearer's weapon and unarmed attacks to deal an additional 1d4 damage against Obscured or shadow creatures.,,,,,,,,,,
Shapeshifter's Boon Ring,,,Ring,Uncommon,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,Shapeshifter's Boon,,,,,,,,,3,Shapeshifter's Boon Ring is an uncommon Ring that grants the wearer +1d4 on all checks made while shapeshifted or disguised.,,,,,,,,,,
Smuggler's Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,"Stealth, Sleight of Hand",2,,,,,,,,,CHA,-1,,,,,,,1,Smuggler's Ring is an uncommon Ring that grants the wearer bonuses to Stealth and Sleight of Hand.,,,,,,,,,,
Snowburst Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Snowburst,,,,,,,,,2,Snowburst Ring is an uncommon Ring that causes the wearer to create a 4.5m / 15ft circle of ice around their target when dealing Cold damage.,,,,,,,,,,
Spurred Band,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Frantic Urgency,,,,,,,,,1,The Spurred Band is an uncommon Ring that grants the wearer Momentum while greatly injured.,,,,,,,,,,
Strange Conduit Ring,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Strange Conduit,,,,,,,,,2,The Strange Conduit Ring is a uncommon Ring that grants additional Psychic damage to the wearer's weapon while Concentrating.,,,,,,,,,,
Sunwalker's Gift,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Sunwalker's Gift,,,,,,,,,1,Sunwalker's Gift is an uncommon Ring that grants a creature darkvision.,,,,,,,,,,
The Sparkswall,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,Lightning,,,,,,,,,,,Spark Blocker,,,,,,,,,1,The Sparkswall is an uncommon Ring that shields the wearer from Lightning.,,,,,,,,,,
The Whispering Promise,,,Ring,Uncommon,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,,,,Blessed Mercy,,,,,,,,,1,The Whispering Promise is an uncommon Ring that grants a bonus to Attack Rolls and Saving Throws to creatures healed by the wearer.,,,,,,,,,,
After Death Do Us Part,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,After Death Do Us Part,,,,,,,,,3,"After Death Do Us Part is a rare Ring which allows its wearer to regain half their hit points after being  Downed, but be cursed with  Shadow Possession.",,,,,,,,,,
Band of the Mystic Scoundrel,,,Ring,Rare,Non-Armour,0.1kg,190,,,,FALSE,,,,,,,,,,,,Illusion Quickening,,,,,,,,,3,Band of the Mystic Scoundrel is a rare Ring that grants the wearer the ability to cast illusion or enchantment spells as a bonus action after hitting a creature with a weapon attack.,,,,,,,,,,
Fetish of Callarduran Smoothhands,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,Invisibility,2,Long Rest,,,,,,,,,,1,The Fetish of Callarduran Smoothhands is a rare Ring that allows the wearer to cast the Invisibility spell once per Long Rest.,,,,,,,,,,
Keepsake Ring,,,Ring,Rare,Non-Armour,0.1kg,190,,,,FALSE,,,,,,,,,Dominate Beast,5,Long Rest,,,,,,,,,,3,Keepsake Ring is a rare Ring that allows its wearer to cast  Dominate Beast as a 5th level spell once per Long Rest.,,,,,,,,,,
Ring of Arcane Synergy,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,Synergetic Cantrips,,,,,,,,,2,Ring of Arcane Synergy is a rare Ring. It grants Arcane Synergy when the wearer deals damage with a cantrip.,,,,,,,,,,
Ring of Blink,,,Ring,Rare,Non-Armour,0.1kg,190,,,,FALSE,,,,,,,,,Blink,3,Long Rest,,,,,,,,,,3,The Ring of Blink is a rare Ring that allows the wearer to cast  Blink once per Long Rest.,,,,,,,,,,
Ring of Exalted Marrow,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,"Exhort the Risen, Ghoulish Touch",1,Long Rest,,,,,,,,,,2,Ring of Exalted Marrow is a rare Ring that grants the wearer the ability to cast Exhort the Risen and Ghoulish Touch.,,,,,,,,,,
Ring of Free Action,,,Ring,Rare,Non-Armour,0.1kg,160,,,,FALSE,,,,,,,,,,,,Unwavering,,,,,,,,,1,Ring of Free Action is a rare Ring which allows the wearer to ignore the effects of Difficult Terrain and confers immunity to  Paralysis and being  Restrained.,,,,,,,,,,
Ring of Mind-Shielding,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,Shelter,,,,,,,,,1,The Ring of Mind-Shielding is a rare Ring that gives advantage on saving throws against being Charmed.,,,,,,,,,,
Ring of Poison Resistance,,,Ring,Rare,Non-Armour,0.1kg,40,,,,FALSE,Poison,,,,,,,,,,,,,,,,,,,,1,The Ring of Poison Resistance is a rare Ring that grants the wearer Resistance to ⁠Poison damage.,,,,,,,,,,
Ring of Protection,,,Ring,Rare,Non-Armour,0.1kg,70,,,1,FALSE,,,,,,,1,,,,,,,,,,,,,,1,The Ring of Protection is a rare Ring that grants the wearer a bonus to  Armour Class and  Saving throws.,,,,,,,,,,
Ring of Truthfulness,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,Ring of Veracity,,,,,,,,,3,Ring of Truthfulness is a rare ring that grants its wearer  Advantage on  Insight checks.,,,,,,,,,,
Ring of Twilight,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,Treader by Twilight,,,,,,,,,2,The Ring of Twilight is a rare Ring that increases the wearer's Armour Class while obscured.,,,,,,,,,,
Risky Ring,,,Ring,Rare,Non-Armour,0.1kg,190,,,,FALSE,,,,,,,,,,,,Risky Attack,,,,,,,,,2,The Risky Ring is a rare Ring. The wearer gains  Advantage on  Attack rolls but receives  Disadvantage on  Saving throws.,,,,,,,,,,
Shifting Corpus Ring,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,"Invisibility, Blur",2,Long Rest,,,,,,,,,,2,The Shifting Corpus Ring is a rare Ring that grants the ability to cast Invisibility and Blur once per Long Rest.,,,,,,,,,,
Till Death Do Us Part,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,Beacon of Hope,3,Long Rest,,,,,,,,,,3,Til Death Do Us Part is a rare Ring that grants its wearer the ability to cast  Beacon of Hope.,,,,,,,,,,
True Love's Caress,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,Fond Caress,,,,,,,,,2,True Love's Caress is one of a matching pair of Rings that grants the wearer  Warding Bond.,,,,,,,,,,
True Love's Embrace,,,Ring,Rare,Non-Armour,0.1kg,70,,,,FALSE,,,,,,,,,,,,Intimate Embrace,,,,,,,,,2,True Love's Embrace is one of a matching pair of Rings that lets the wearer cast  Warding Bond.,,,,,,,,,,
Burnished Ring,,,Ring,Very Rare,Non-Armour,0.1kg,360,,,,FALSE,,,,,,,,,Paralyzing Ray,3,Long Rest,,,,,,,,,,3,The Burnished Ring is a very rare Ring that allows the wearer to cast  Paralyzing Ray once per Long Rest.,,,,,,,,,,
Crypt Lord Ring,,,Ring,Very Rare,Non-Armour,0.1kg,1000,,,,FALSE,,,,,,,,,Create Undead,6,Long Rest,,,,,,,,,,3,Crypt Lord Ring is a very rare Ring that allows the wearer to cast  Create Undead once per Long Rest.,,,,,,,,,,
Killer's Sweetheart,,,Ring,Very Rare,Non-Armour,0.1kg,140,,,,FALSE,,,,,,,,,,,,Executioner,,,,,,,,,2,"Killer's Sweetheart is a very rare Ring that makes the wearer's next Attack Roll a critical hit after killing a creature, once per Long Rest.",,,,,,,,,,
Orphic Ring,,,Ring,Very Rare,Non-Armour,0.1kg,360,,,,FALSE,,,,,,,,,Confusion,5,Long Rest,,,,,,,,,,3,Orphic Ring is a very rare ring that grants its wearer the  Confusion (level 5) spell on a long rest cooldown.,,,,,,,,,,
Ring of Evasion,,,Ring,Very Rare,Non-Armour,0.1kg,140,,,,FALSE,,,,,,,,,,,,Dextrous Evasion,,,,,,,,,3,Ring of Evasion is a very rare Ring that grants the wearer Dextrous Evasion.,,,,,,,,,,
Ring of Feywild Sparks,,,Ring,Very Rare,Non-Armour,0.1kg,140,,,,FALSE,,,,,,,,,,,,"Feywild Sparks, High Spellcasting (+1)",,,,,,,,,3,Ring of Feywild Sparks is a very rare Ring. It forces Wild Magic Surges to always trigger while  Tides of Chaos feature is active. It also grants a +1 bonus to Spell Save DC.,,,,,,,,,,
Ring of Regeneration,,,Ring,Very Rare,Non-Armour,0.1kg,360,,,,FALSE,,,,,,,,,,,,Combat Regeneration,,,,,,,,,1,Ring of Regeneration is a very rare Ring that heals the wearer at the beginning of their turn while in combat.,,,,,,,,,,
Guiding Light,,,Ring,Story Item,Non-Armour,0.1kg,40,,,,FALSE,,,,,,,,,Light,,,,,,,,,,,,1,The Guiding Light is an story-related Ring that allows the wearer to cast the  Light cantrip.,,,,,,,,,,
Aberration Hunters' Amulet,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Ancient Grudges,,Short Rest,Aberration Hunter,,,,,,,,,2,"The Aberration Hunters' Amulet is an uncommon Amulet. It grants Githyanki wearing it  Advantage on Intelligence Saving Throws and aberrations have  Disadvantage on attacks against them. The wielder can gain  Advantage on Attack Rolls against Aberrations for 3 turns, once per Short Rest.[See: Bugs]",,,,,,,,,,
Absolute Confidence Amulet,,,Amulet,Uncommon,Non-Armour,0.1kg,45,,,,FALSE,,,"Performance, Intimidation",1,,,,,,,,,,,,,,,,,3,The Absolute Confidence Amulet is an uncommon Amulet that grants the wearer a +1 bonus to Performance checks at the cost of -1 to Intimidation checks.,,,,,,,,,,
Absolute's Talisman,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Absolute's Talisman: Aid,2,Long Rest,Absolute's Mercy,,,,,,,,,1,"Absolute's Talisman is an uncommon Amulet that allows the wearer to cast a self-only version of Aid, and grants Advantage on Death Saving Throws if they bear the Absolute's Brand.",,,,,,,,,,
Amulet of Elemental Torment,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,Nature's Vengeance,,,,,,,,,3,The Amulet of Elemental Torment is an uncommon Amulet that channels the effects of certain Surfaces into the wearer's spells.,,,,,,,,,,
Amulet of Misty Step,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Misty Step,2,Short Rest,,,,,,,,,,1,Amulet of Misty Step is an uncommon amulet that grants its wearer the Misty Step spell on a short rest cooldown.,,,,,,,,,,
Amulet of Selûne's Chosen,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Selûne's Dream,,Long Rest,,,,,,,,,,1,The Amulet of Selûne's Chosen is an uncommon Amulet that allows the wearer to cast Selûne's Dream once per Long Rest.,,,,,,,,,,
Amulet of Silvanus,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Lesser Restoration,2,Short Rest,,,,,,,,,,1,The Amulet of Silvanus is an uncommon Amulet that allows the wearer to cast  Lesser Restoration once per Short Rest.,,,,,,,,,,
Amulet of the Unworthy,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,Slashing,Bludgeoning,,,,,,,,,,,,,,,,,,,1,"The Amulet of the Unworthy is an uncommon Amulet that protects the wearer from ⁠Slashing damage, but leaves them vulnerable to ⁠Bludgeoning damage.",,,,,,,,,,
Beastmaster's Chain,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Animal Friendship,1,Long Rest,,,,,,,,,,1,Beastmaster's Chain is an uncommon Amulet that allows the wearer to cast  Animal Friendship once per Long Rest.,,,,,,,,,,
Broodmother's Revenge,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,Venomous Revenge,,,,,,,,,1,The Broodmother's Revenge is an uncommon Amulet. It coats the wearer's weapon in poison whenever they are healed.,,,,,,,,,,
Fireheart,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,Fervent Flames,,,,,,,,,2,Fireheart is an uncommon Amulet that grants the wearer 2 turns of  Heat when they take Fire damage.,,,,,,,,,,
Frost Prince,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Ice Knife,1,Long Rest,,,,,,,,,,2,Frost Prince is an uncommon Amulet which grants the wearer the ability to cast the  Ice Knife spell.,,,,,,,,,,
Hammergrim Mist Amulet,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Fog Cloud,1,Long Rest,,,,,,,,,,2,The Hammergrim Mist Amulet is an uncommon Amulet that grants the wearer the ability to cast the  Fog Cloud spell.,,,,,,,,,,
Kill Collar,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Kill Collar is an uncommon Amulet that represents the collars used by Gortash to keep the Gondians within the Iron Foundry in check.,,,,,,,,,,
Komira's Locket,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Dancing Lights,,Per Turn,,,,,,,,,,1,Komira's Locket is an uncommon Amulet given to the party by  Arabella's parents.Grants its wearer the ability to cast  Dancing Lights.,,,,,,,,,,
Moondrop Pendant,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,Writhing Dance,,,,,,,,,1,The Moondrop Pendant is an uncommon Amulet that allows the wearer to avoid provoking Attacks of Opportunity when below 50% hit points.,,,,,,,,,,
Necklace of Elemental Augmentation,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,Elemental Augmentation,,,,,,,,,3,Necklace of Elemental Augmentation is an uncommon Amulet that adds the Spellcasting Modifier to the damage when the wearer uses elemental damage with a cantrip.,,,,,,,,,,
Pearl of Power Amulet,,,Amulet,Uncommon,Non-Armour,0.1kg,45,,,,FALSE,,,,,,,,,Pearlescent Restoration,,Long Rest,,,,,,,,,,1,The Pearl of Power Amulet is an uncommon Amulet that allows the wielder to restore a spell slot of 3rd level or lower once per Long Rest.,,,,,,,,,,
Psychic Spark,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Magic Missile,1,Long Rest,Psychic Missiles,,,,,,,,,1,Psychic Spark is an uncommon Amulet that allows the wearer to cast a stronger version of  Magic Missile.,,,,,,,,,,
Shar's Temptation,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Charm Person,1,Short Rest,,,,,,,,,,2,Shar's Temptation is an Amulet that allows its wearer to cast  Charm Person once per Short Rest.,,,,,,,,,,
Silver Pendant,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Guidance,,Per Turn,,,,,,,,,,1,Silver Pendant is an uncommon Amulet that allows the wearer to cast  Guidance.,,,,,,,,,,
Spineshudder Amulet,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,Crackling Resonance,,,,,,,,,2,Spineshudder Amulet is an uncommon Amulet that allows the wearer to inflict Reverberation when dealing damage with ranged spell attacks.,,,,,,,,,,
Tarnished Charm,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,Fey Life,,,,,,,,,3,The Tarnished Charm is an uncommon amulet that reduces the DC of the wearer's death saving throws.,,,,,,,,,,
The Blast Pendant,,,Amulet,Uncommon,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Lightning Blast,,Long Rest,,,,,,,,,,1,The Blast Pendant is an uncommon Amulet that allows the wearer to focus and discharge their Lightning Charges to strengthen their next lightning spell.,,,,,,,,,,
The Ever-Seeing Eye,,,Amulet,Uncommon,Non-Armour,0.1kg,3,,,,FALSE,,,,,,,,,Protection from Evil and Good,1,Short Rest,,,,,,,,,,1,The Ever-Seeing Eye is an uncommon Amulet that allows the wearer to cast  Protection from Evil and Good once per Short Rest.,,,,,,,,,,
Amulet of Branding,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,Brand the Weak,1,Long Rest,,,,,,,,,,2,The Amulet of Branding is a rare Amulet which allows the wearer to cast Brand the Weak once per Long Rest.,,,,,,,,,,
Amulet of Restoration,,,Amulet,Rare,Non-Armour,0.1kg,160,,,,FALSE,,,,,,,,,"Healing Word, Mass Healing Word","1,3",Long Rest,,,,,,,,,,1,Amulet of Restoration is a rare Amulet that allows the wearer to cast  Healing Word and  Mass Healing Word once per Long Rest.,,,,,,,,,,
Amulet of the Drunkard,,,Amulet,Rare,Non-Armour,0.1kg,190,,,,FALSE,,,,,,,,,,,,Booze Remedy,,,,,,,,,3,"Amulet of the Drunkard is a rare amulet. It increases the duration of Drunk to 5 turns and causes the wearer to regain 2d4 hit points once, during the first turn of  Drunk that occurs with this item equipped.",,,,,,,,,,
Amulet of the Harpers,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,WIS,,ADV,Shield,1,Long Rest,,,,,,,,,,2,Amulet of the Harpers is a rare Amulet that allows the wearer to cast Shield once per Long Rest and grants Advantage with Wisdom Saving Throws.,,,,,,,,,,
Champion's Chain,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,Tyrant Tongue,,Long Rest,,,,,,,,,,1,Champion's Chain is a rare Amulet that allows the wearer to grant an ally a bonus to Intimidation.,,,,,,,,,,
Chancer's Carcanet,,,Amulet,Rare,Non-Armour,0.1kg,190,,,,FALSE,,,,,,,,,,,,Innate Fortitude,,,,,,,,,3,"Chancer's Carcanet is a rare Amulet that allows the wearer to use a reaction to make an  Attack roll or  Saving throw with  Advantage, once per Long Rest.",,,,,,,,,,
Envoy's Amulet,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,Voice of the Circle,,Long Rest,,,,,,,,,,1,Envoy's Amulet is a rare Amulet that allows the wearer to grant an ally a bonus to Persuasion.,,,,,,,,,,
Periapt of Wound Closure,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,,,,"Wound Closure, Potent Healing",,,,,,,,,2,Periapt of Wound Closure is a rare Amulet. Its wearer is automatically stabilised if  Downed at the start of their turn and the maximum the amount of hit points are restored to them when they receive healing.,,,,,,,,,,
