Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Invoker of Bhaal Horriss,,,Humanoid,Human,Wizard,Conjuration School,,Medium,9.0m,30.0m,75.0kg,400,"Benign Transposition: Teleport,Murderous Cloud of Daggers,Ice Knife,Ray of Frost,Slow",,,FALSE,,,,,Cult of Bhaal,
Stylin' Horst,,,Humanoid,Human,,,Male,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
Horus Crysst,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,,,,,FALSE,,,,Noira Crysst (wife)Torin Crysst (son),,
Zephyr Gish'ra Hr'ack'la,,,Humanoid,Githyanki,,,Female,Medium,13.5m,,75.0kg,200,"Embrace of the Inferno,Fist of Unbroken Air,Flames of the Phoenix,Flurry of Blows,Stunning Strike (Unarmed)",,,FALSE,,,,,Warriors of the Comet,
Hucinda,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Big Huido,,,Humanoid,Halfling,Rogue,,Male,Small,7.5m,,35.0kg,250,"Main Hand Attack,Piercing Strike,Sneak Attack (Melee)",Dagger,,FALSE,,,,,The Guild,
Warrior Huk,,,Humanoid,Goblin,Fighter,,Male,Small,9.0m,12.0m,35.0kg,20,"Cleave,Lacerate,Main Hand Attack,Menacing Attack (Melee),Prepare,Throw Stone",Greataxe,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Vicar Humbletoes,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,250,,,,FALSE,,,,,,
Sharran Novice Humboldt,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,24.0m,75.0kg,320,Main Hand Attack,Mace,,FALSE,,,,,Church of Shar,
Cashguard Basher Humgoole,,,Humanoid,Human,Paladin,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack,Lay on Hands: Greater Healing,Blinding Smite,Divine Smite","Hand Crossbow,Maul",,FALSE,,,,,,
Hunkers Boolean,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Gaheid Slickjaw (husband),,
Hurk,,,Humanoid,Dwarf,Ranger,,Male,Medium,7.5m,24.0m,75.0kg,75,"Brace (Ranged),Piercing Shot,Ranged Attack",Heavy Crossbow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Sharran Fidelian Hyrald,,,Humanoid,Human,Wizard,,Male,Medium,9.0m,24.0m,75.0kg,320,"Beckoning Darkness,Bone Chill,Darkness,Shadow Step",,,FALSE,,,,,Church of Shar,
Hyrla Sname,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Peetri Sname (sister),,
Fist of Bane Hyrriet,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Concussive Smash,Main Hand Attack,Menacing Attack (Melee)",Infernal Mace (Uncommon),,FALSE,,,,,,
Iados Kallista,,,Humanoid,Tiefling,,,Male,Medium,9.0m,9.0m,25.0kg,,,,,FALSE,,,,Rozes Kallista (mother)Leucis Kallista (father)Nemi Kallista (daughter),,
Ide,,,Humanoid,Tiefling,,,Female,Small,9.0m,12.0m,25.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Black Gauntlet Ifran,,,Humanoid,Human,Cleric,,Male,Medium,9.0m,,75.0kg,400,"Aura of Terror,Blight,Concussive Smash,Dominate Person,Inflict Wounds,Initiate Collar Detonation,Main Hand Attack,Phantasmal Killer,Spirit Guardians (Necrotic)",Infernal Mace,,FALSE,,,,,Cult of Bane,
Black Gauntlet Ignur,,,Humanoid,Human,Cleric,,Male,Medium,9.0m,,75.0kg,400,"Aura of Terror,Blight,Concussive Smash,Dominate Person,Inflict Wounds,Main Hand Attack,Phantasmal Killer,Spirit Guardians (Necrotic)",Infernal Mace,,FALSE,,,,,Cult of Bane,
Ikaron,,,Humanoid,Tiefling,Fighter,,Male,Medium,9.0m,12.0m,75.0kg,20,"Cleave,Lacerate,Main Hand Attack,Prepare",Greataxe,,FALSE,,,,Okta (mother),Tiefling refugees,
Immortal Eternal Debtor,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Imprudence,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,250,Main Hand Attack,Warhammer,,FALSE,,,,,,
Impurto Nexim,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Sharran Sentry Imwise,,,Humanoid,Human,Fighter,,,Medium,9.0m,24.0m,75.0kg,320,Main Hand Attack,Scimitar (Sharran),,FALSE,,,,,Church of Shar,
Incontinentia Figgin,,,Humanoid,Drow,,,Female,Medium,9.0m,16.0m,75.0kg,1,,,,FALSE,,,,,,
Indora Ralston,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,400,"Aura of Terror,Blight,Concussive Smash,Dominate Person,Inflict Wounds,Initiate Collar Detonation,Main Hand Attack,Phantasmal Killer,Spirit Guardians (Necrotic)",Infernal Mace,,FALSE,,,,,Cult of Bane,Black Gauntlet
Fist Ingram,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,200,"Main Hand Attack,Piercing Strike,Rush Attack,Trip Attack (Melee)","Spear,Javelin",,FALSE,,,,,Flaming Fist,
Inku Neza,,,Humanoid,Dragonborn,Barbarian,Berserker,Female,Medium,9.0m,,100.0kg,250,"Frenzy,Main Hand Attack,Reckless Attack",Handaxe,,FALSE,,,,,Dead Eyes,Member of the Dead Eyes
Guard Inocente Bramm,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,250,"Concussive Smash,Main Hand Attack,Mobile Shot,Piercing Shot,Ranged Attack,Menacing Attack (Melee)","Hand Crossbow,Mace",,FALSE,,,,,Cult of Bane,
Inquisitor of the Absolute,,,Humanoid,,Ranger,,,Medium,9.0m,9.0m,75.0kg,9,"Brace (Ranged),Conjure Barrage,Ensnaring Strike,Main Hand Attack,Ranged Attack,Piercing Shot,Rush Attack","Spear +1,Heavy Crossbow +1",,FALSE,,,,,Cult of the Absolute,
Invoker of Bhaal,,,Humanoid,Human,Wizard,Conjuration School,,Medium,9.0m,9.0m,75.0kg,200,"Benign Transposition: Teleport,Murderous Cloud of Daggers,Ice Knife,Ray of Frost,Slow",,,FALSE,,,,,Cult of Bhaal,
Inwe,,,Humanoid,Elf,Druid,,Female,Medium,10.5m,12.0m,75.0kg,20,"Main Hand Attack,Produce Flame,Web,Wild Shape: Bear",Quarterstaff,,FALSE,,,,,Circle of the Emerald Grove,
Zealot Iogar,,,Humanoid,Half-elf,Paladin,,Male,Medium,9.0m,12.0m,75.0kg,140,"Branding Smite,Cleave,Hamstring Shot,Lacerate,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Main Hand Attack,Ranged Attack,Rush Attack,Thunderous Smite,Abjure Enemy","Shortbow,Halberd",,FALSE,,,,,Cult of the Absolute,
Pilgrim Iong,,,Humanoid,Human,Cleric,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,Cult of the Absolute,
Irenya,,,Humanoid,Elf,,,Female,Medium,1.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,Barmaid
Ironfinger,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,140,"Main Hand Attack,Misty Step,Ray of Sickness,Shield",Flail of Myrkul,,FALSE,,,,,Cult of Myrkul,Skull Lasher
Ironhand Grenadier,,,Humanoid,Gnome,,,,Small,7.5m,12.0m,35.0kg,250,"Brace (Ranged),Piercing Shot,Ranged Attack,Sneak Attack (Ranged)",Heavy Crossbow +1,,FALSE,,,,,,
Isobel,,,Humanoid,Half-elf,Cleric,Knowledge Domain,Female,Medium,9.0m,12.0m,75.0kg,90,"Cure Wounds,Guiding Bolt,Healing Word,Main Hand Attack,Rush Attack,Sacred Flame,Turn Undead",Spear +1,,FALSE,,,,"Dame Aylin (partner) Melodia Thorm (mother, deceased) Ketheric Thorm (father) Thisobald Thorm (brother) Malus Thorm (great-uncle) Gerringothe Thorm",Selûnite,
Warrior Ith’dul,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,75,"Cleave,Disarming Attack (Melee),Lacerate,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,Crèche Y'llek,
Fist Recruit Ito,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,40,"Brace (Ranged),Ensnaring Strike (Ranged),Ranged Attack,Piercing Shot,Volley",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Fist Ivarus,,,Humanoid,Human,Wizard,,Male,Medium,9.0m,,75.0kg,250,"Blight,Conjure Elemental: Fire Elemental,Counterspell,Fire Bolt,Main Hand Attack,Melf's Acid Arrow,See Invisibility,Slow,Topple",Quarterstaff,,FALSE,,,,,Flaming Fist,
Iwan,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,,,,,FALSE,,,,,,
Iza Blouin,,,Humanoid,Half-elf,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Izwae,,,Humanoid,Drow,Ranger,,Male,Medium,9.0m,16.0m,75.0kg,40,"Brace (Ranged),Hamstring Shot,Ranged Attack",Longbow,,FALSE,,,,,,
Izzy,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,,,,,FALSE,,,,,,
Fist J'ehlar,,,Humanoid,Human,Cleric,Light Domain,Female,Medium,9.0m,,75.0kg,90,"Bless,Burning Hands,Concussive Smash,Cure Wounds,Main Hand Attack,Sacred Flame",Club,,FALSE,,,,,Flaming Fist,
Flaming Fist Jacek,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,4,Archer's Eye,,,FALSE,,,,Molly (daughter),Flaming Fist,
Jacelyn,,,Humanoid,Half-elf,Sorcerer,Draconic Bloodline,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Cashguard Artillerist Jacko,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Fist Jagic,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,200,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,
Fist Jara,,,Humanoid,Human,Wizard,,,Medium,9.0m,,75.0kg,250,"Blight,Conjure Elemental: Fire Elemental,Counterspell,Fire Bolt,Levitate (Illithid Power),Melf's Acid Arrow,Mind Blast,See Invisibility,Slow,Tentacle Whip (Mind Flayer)",,,FALSE,,,,,Cult of the Absolute,
Jarg,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,40,"Main Hand Attack,Mobile Shot,Off-Hand Attack (Ranged),Piercing Shot,Piercing Strike,Ranged Attack,Sneak Attack (Melee),Sneak Attack (Ranged)","Hand Crossbow,Dagger",,FALSE,,,,,Zhentarim,
Jarlath,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Jaryd,,,Humanoid,Halfling,Fighter,,Male,Small,7.5m,,75.0kg,320,"Disarming Attack (Melee),Main Hand Attack,Second Wind",Flail,,FALSE,,,,,Szarr Palace,
Questioner Jasin,,,Humanoid,Gnome,Wizard,,Female,Small,7.5m,12.0m,35.0kg,140,"Blindness,Cloud of Daggers,Confusion,Eldritch Blast,Main Hand Attack,Piercing Strike",Dagger,,FALSE,,,,Sumera (sister),Cult of the Absolute,
News Hawker Jason,,,Humanoid,Human,,,Male,Small,1.0m,,25.0kg,1,,,,FALSE,,,,,,
Warrior Jawn,,,Humanoid,Goblin,Fighter,,,Small,9.0m,12.0m,35.0kg,15,"Lacerate,Main Hand Attack,Menacing Attack (Melee),Throw Stone",,,FALSE,,,,,Cult of the Absolute,
Iron Consul Jaxbock,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Mobile Shot,Piercing Shot,Rush Attack,Voice of Command, Ranged Attack","Hand Crossbow,Spear +1",,FALSE,,,,,Cult of Bane,
Jaycen Borgu,,,Humanoid,Human,,,Female,Medium,9.0m,18.0m,75.0kg,1,,,,FALSE,,,,,,
Waiter Jaymes,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
A'jak'nir Jeera,,,Humanoid,Githyanki,Fighter,Eldritch Knight,Female,Medium,9.0m,,75.0kg,75,"Bestow Curse,Blindness,Burning Hands,Hold Person,Misty Step,Ray of Frost,Shocking Grasp",,,FALSE,,,,,Crèche Y'llek,Quartermistress
Jeffers Morston,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,Courier
Jenniver Antilles,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Jeorna,,,Humanoid,Elf,Druid,Circle of the Moon,Female,Medium,10.5m,12.0m,75.0kg,20,"Cure Wounds,Entangle,Heat Metal,Main Hand Attack,Produce Flame,Wild Shape: Boar",Quarterstaff,,FALSE,,,,,Circle of the Emerald Grove,
Fist Jepsen,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,200,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,
Jerbold,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,8,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack,Throw","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Jerris,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,24.0m,75.0kg,75,"Brace (Ranged),Ensnaring Strike (Ranged),Main Hand Attack,Piercing Shot,Piercing Strike,Ranged Attack","Dagger,Heavy Crossbow",,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Jezzy Topps,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,250,"Concussive Smash,Main Hand Attack,Tenacity",Greatclub,,FALSE,,,,,The Guild,
Ardent Jhe'rezath,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,75,"Flourish,Main Hand Attack,Misty Step,Piercing Strike,Psychic Rend",Githyanki Shortsword,,FALSE,,,,,Crèche Y'llek,
Jheruth,,,Humanoid,Githyanki,,,Female,Medium,9.0m,,25.0kg,1,,,,FALSE,,,,,Githyanki (Faction),
Jhessem,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,,,,,FALSE,,,,Jaheira (adoptive mother)Jord (adoptive brother)Tate (adoptive sister)Rion (adoptive sister)Fig (adoptive sister),Harpers,
Fist Jimi Borleas,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,12.0m,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Piercing Strike,Rush Attack,Sweeping Attack","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Jitters Corbwell,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Jivin Mizzrym,,,Humanoid,Gnome,Warlock,,Male,Small,7.5m,12.0m,35.0kg,250,"Acid Splash,Eldritch Blast,Fear,Misty Step,Shatter",,,FALSE,,,,,Dead Eyes,Member of the Dead Eyes
Johl,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,"Main Hand Attack,Rush Attack",Pitchfork,,FALSE,,,,Demir (brother)Mayrina (sister),,
News Hawker Jonah,,,Humanoid,Human,,,Male,Small,1.0m,,25.0kg,1,,,,FALSE,,,,,,
Jord,,,Humanoid,Half-orc,Druid,Circle of the Moon,Male,Medium,9.0m,18.0m,100.0kg,320,"Flame Blade,Flourish,Hold Person,Poison Spray,Wild Shape: Fire Myrmidon",,,FALSE,,,,Jaheira (adoptive mother)Tate (adoptive brother)Jhessem (adoptive sister)Rion (adoptive sister)Fig (adoptive sister),Harpers,
Jorkens,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,Mate Creppsels
Justiciar Crusader (Archetype),,,Humanoid,High elf,,,,Medium,7.0m,7.0m,75.0kg,280,"Main Hand Attack,Life Drain,Overwhelming Grief,Subsume Shadow",Greatsword,,FALSE,,,,,Church of Shar,
Porter Juxon,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Raider Jy'ir,,,Humanoid,Githyanki,Fighter,,,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Misty Step,Piercing Shot,Ranged Attack,Rally,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,
Zephyr Gish'ra Jyd'i',,,Humanoid,Githyanki,Monk,Way of the Four Elements,Female,Medium,13.5m,,75.0kg,200,"Clench of the North Wind,Fist of Unbroken Air,Flurry of Blows,Step of the Wind: Dash,Unarmed Strike (Monk)",,,FALSE,,,,,Warriors of the Comet,
High Gish'ra K'i'lar,,,Humanoid,Githyanki,Monk,Way of the Open Hand,Female,Medium,13.5m,,75.0kg,200,"Flurry of Blows: Topple,Step of the Wind: Dash,Unarmed Strike (Monk)",,,FALSE,,,,,Warriors of the Comet,
Kadugan,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Kaet Ling,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Kagha,,,Humanoid,Elf,Druid,Circle of the Land,Female,Medium,9.0m,12.0m,75.0kg,150,"Cure Wounds,Flourish,Heat Metal,Lacerate,Main Hand Attack,Misty Step,Moonbeam,Off-Hand Attack (Melee),Plant Growth,Thunderwave,Wild Shape: Wolf","Scimitar,Dagger",,TRUE,,,,,Circle of the Emerald Grove,Archdruid
Kagran,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,1,"Concussive Smash,Main Hand Attack",Club,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Kaldani,,,Humanoid,Tiefling,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,20,"Cure Wounds,Flourish,Hunter's Mark,Main Hand Attack,Mobile Shot,Piercing Strike,Piercing Shot,Ranged Attack","Hand Crossbow,Shortsword",,FALSE,,,,,Tiefling refugees,
Kale Dorriacks,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Kali Hammerhand,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Cook Kameros,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,"Main Hand Attack,Piercing Strike",Dagger,,FALSE,,,,,Flaming Fist,
Kanon,,,Humanoid,Tiefling,Ranger,,Male,Medium,9.0m,12.0m,75.0kg,3,,,,FALSE,,,,Arka (sibling),Tiefling refugees,
Kansif,,,Humanoid,Half-orc,Wizard,Evocation School,Male,Medium,9.0m,18.0m,100.0kg,75,"Cloud of Daggers,Cure Wounds,Fire Bolt,Fireball",,,FALSE,,,,,Cult of the Absolute,
Karad,,,Humanoid,Human,Ranger,,,Medium,9.0m,,75.0kg,40,"Hamstring Shot,Ranged Attack,Sneak Attack (Ranged)",Shortbow,,FALSE,,,,,Zhentarim,
Karlach,,,Humanoid,Tiefling,Barbarian,Berserker,Female,Medium,9.0m,12.0m,90.0kg,1,,,,FALSE,,,,"Pluck Cliffgate (father, deceased)Caerlack Cliffgate (mother, deceased)",,Fury of Avernus
Cashguard Basher Karol,,,Humanoid,Human,Paladin,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack,Lay on Hands: Greater Healing,Blinding Smite,Divine Smite","Hand Crossbow,Maul",,FALSE,,,,,,
Fist Karoline,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,8,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack,Throw","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Karrik,,,Humanoid,Human,Druid,,Male,Medium,9.0m,,75.0kg,20,"Main Hand Attack,Poison Spray,Produce Flame,Wild Shape: Bear",Quarterstaff,,FALSE,,,,,Circle of the Emerald Grove,
Harper Karrow,,,Humanoid,Dwarf,Ranger,,Male,Medium,7.5m,12.0m,75.0kg,75,"Main Hand Attack,Piercing Shot,Piercing Strike,Ranged Attack","Light Crossbow,Dagger",,FALSE,,,,,Harpers,
Katelyn Lerskin,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,200,"Bless,Concussive Smash,Guiding Bolt,Main Hand Attack,Mass Healing Word,Prayer of Healing,Sacred Flame",Light Hammer,,FALSE,,,,,The Gur,
Kavil,,,Humanoid,Asmodeus tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Kepli,,,Humanoid,Gnome,,,Female,Small,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Kepso,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,200,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Sweeping Attack",Halberd,,FALSE,,,,,Flaming Fist,
Adept Keris,,,Humanoid,Drow,,,Female,Medium,9.0m,16.0m,75.0kg,140,"Command: Flee,Death Ward,Guardian of Faith,Guiding Bolt,Hunger of Hadar,Main Hand Attack,Sacred Flame,Topple",Quarterstaff,,FALSE,,,,,Cult of the Absolute,
Kerz,,,Humanoid,Half-orc,Paladin,Oath of Devotion,Male,Medium,9.0m,,1.0kg,1,,,,FALSE,,,,,,
Sa'varsh Kethk,,,Humanoid,Githyanki,Fighter,Battle Master,Male,Medium,9.0m,,75.0kg,75,"Brace (Ranged),Mental Instruction,Misty Step,Piercing Shot,Rally,Ranged Attack,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,Warfare Instructor
Mind Master Kettel,,,Humanoid,Dwarf,Wizard,,Female,Medium,7.5m,24.0m,75.0kg,75,"Invisibility (Duergar),Main Hand Attack,Mind Mastery,Mind Spike,Piercing Strike,Reduce (Duergar)",Dagger,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Kevo Phogge,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,320,"Conjure Murder of Crows,Hail of Thorns,Mobile Shot,Piercing Shot,Piercing Strike,Ranged Attack,Stunning Gaze","Dagger,Hand Crossbow +1",,FALSE,,,,,Cult of Bhaal,
Raider Kharyk,,,Humanoid,Githyanki,,,,Medium,9.0m,,75.0kg,250,"Ranged Attack,Misty Step,Rally,Trip Attack (Ranged)",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,
Refugee Khathi,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Warrior Khunaruth,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Cleave,Disarming Attack (Melee),Enhance Leap,Main Hand Attack,Pommel Strike,Second Wind",Githyanki Greatsword,,FALSE,,,,,Githyanki (Faction),
Acolyte Kimmeral,,,Humanoid,Elf,Cleric,,Male,Medium,9.0m,12.0m,75.0kg,110,"Bless,Cure Wounds,Piercing Shot,Ranged Attack,Sacred Flame",Light Crossbow,,FALSE,,,,,Cult of the Absolute,
Kimmy,,,Humanoid,Human,,,Female,Small,9.0m,,25.0kg,,,,,FALSE,,,,Monifa Diallo (mother),,
Kirgrath,,,Humanoid,Dwarf,Ranger,,Male,Medium,7.5m,24.0m,75.0kg,75,"Brace (Ranged),Invisibility (Duergar),Main Hand Attack,Piercing Strike,Piercing Shot,Ranged Attack,Shove","Dagger,Heavy Crossbow",,FALSE,,,,,Clan Flameshade,
Tracker Kirz,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,10,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Stonemason Kith,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,24.0m,75.0kg,75,"Backbreaker,Concussive Smash,Enlarge (Duergar),Main Hand Attack,Throw Stone,Weakening Strike",Warhammer,,FALSE,,,,,Clan Flameshade,
Kivak,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,Tiefling refugees,
Fist Klaas,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,200,"Cleave,Lacerate,Main Hand Attack,Piercing Strike,Rush Attack,Sweeping Attack","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Tracker Klagga,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,10,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Druid Klarrvox,,,Humanoid,Dragonborn,Druid,,Male,Medium,9.0m,,100.0kg,1,,,,FALSE,,,,,,
Night Blade Klarv,,,Humanoid,Human,,,Female,Medium,9.0m,30.0m,75.0kg,250,"Brace (Ranged),Piercing Shot,Ranged Attack",Heavy Crossbow,,FALSE,,,,,Cult of Bhaal,
Klaus,,,Humanoid,Wood elf,Sorcerer,Draconic Bloodline,,Medium,8.0m,12.0m,75.0kg,200,"Elemental Affinity: Resistance,Poison Breath,Poison Spray,Ray of Sickness,Stinking Cloud",,,FALSE,,,,,Circus of the Last Days,Assistant Sniffer
Zealot Klen,,,Humanoid,Human,Paladin,,Male,Medium,9.0m,,75.0kg,140,"Branding Smite,Cleave,Hamstring Shot,Lacerate,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Main Hand Attack,Ranged Attack,Rush Attack,Throw,Thunderous Smite,Abjure Enemy","Shortbow,Halberd",Caustic Bulb,FALSE,,,,,Cult of the Absolute,
Klorrvank,,,Humanoid,Dragonborn,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Varsh Ko'kuu,,,Humanoid,Githyanki,Fighter,Eldritch Knight,Male,Medium,9.0m,,75.0kg,75,"Astral Step,Brace (Ranged),Counterspell,Misty Step,Piercing Shot,Ranged Attack,Ray of Frost,Shatter,Shocking Grasp,Thunderwave",Githyanki Crossbow,,FALSE,,,,,Crèche Y'llek,Custodian of the Hatchery
Kolobeg,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Komira,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,Unarmed Strike,,,FALSE,,,,Locke (husband)Arabella (daughter),Tiefling refugees,
True Soul Korliss,,,Humanoid,Half-elf,Wizard,,Female,Medium,9.0m,12.0m,75.0kg,75,,,,FALSE,,,,,Cult of the Absolute,
Korrilla,,,Humanoid,Dwarf,,,Female,Small,9.0m,12.0m,75.0kg,75,"Acid Splash,Main Hand Attack,Poison Spray,Scorching Ray,Topple,Witch Bolt",Quarterstaff,,FALSE,,,,Hope (sister),,
Korrinna Koreena,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Warrior Kramp,,,Humanoid,Goblin,Fighter,,Male,Small,9.0m,12.0m,35.0kg,15,"Lacerate,Main Hand Attack,Menacing Attack (Melee),Throw Stone",,,FALSE,,,,,Cult of the Absolute,
Kravatt,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Kree Derryck,,,Humanoid,Dwarf,Warlock,The Great Old One,Female,Medium,8.0m,,75.0kg,1,,,,FALSE,,,,,,
Kressa Bonedaughter,,,Humanoid,Human,Wizard,Evocation School,Female,Medium,9.0m,,75.0kg,140,"Bone Chill,Concussive Smash,Fireball,Incubate Death,Main Hand Attack,Misty Step,Tenacity,Weakening Strike,Shield",Myrkulite Scourge,,FALSE,,,,Maghtew Budj (husband),Cult of Myrkul,Mistress of Souls
