Name,Image,Cost 1,Cost 2,Cost #,Cost 3,Cost on Hit 1,Cost on Hit 2,Cantrip,Spell,Concentration,Ritual,DMG1,DMG1 Type,DMG2,DMG2 Type,DMG3,DMG3 Type,DMG4,DMG4 Type,DMG5,DMG5 Type,DMG6,DMG6 Type,Range,Area,Area Type,Push,Pull,Special WA,WA,Illithid Power,Attack Roll Type,On Miss,Attack Type,Recharge,School,Spell Level,ST Ability,ST Base DC,ST DC Type,Half DMG on Save,On Save,Condition 1,Condition 1 ST Ability,Condition 1 Base DC,Condition 1 DC Type,Condition 1 Duration,Condition 2,Condition 2 ST Ability,Condition 2 Base DC,Condition 2 DC Type,Condition 2 Duration,Additional DMG per Spell Level,DMG User Level 1,DMG Increase 1,DMG User Level 2,DMG Increase 2,DMG User Level 3,DMG Increase 3,Additional DMG Type,Additional Target Per Spell Level,Subactions,Areas,Creatures,Items,Healing,Targets,Desc1,Desc2,Levels,,,,Spells,Non Spells,Cantrips,Illithid Powers,Weapon Actions
Petrifying Sting,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,10d6,Poison,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,Mammon's Hold,CON,18,,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Petrifying String is an action used by Gilded Imps that can temporarily turn foes to gold.,"Mercilessly sting a foe and possibly inflict Mammon's Hold, turning them temporarily to gold.",,,,,,Great Weapon Master: Bonus Attack (attack),,,
Phalar Aluve: Melody,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,Short Rest,,,,,,FALSE,,,,,,5 Turns,,,,,,,,,,,,,,FALSE,"Phalar Aluve: Shriek, Phalar Aluve: Sing",,,,,,Phalar Aluve: Melody is a class action granted by the Phalar Aluve. You can choose to make the sword Sing or Shriek for 5 turns after which you must Short Rest to use this ability again.,"The sword hums in anticipation, ready to Sing or Shriek.",,,,,,Greataxe Slash,,,
Phalar Aluve: Shriek,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,1d4,Thunder,,,,,,,,,,,,6.0m,Radius,,,FALSE,FALSE,FALSE,,,,Short Rest,,,,,,FALSE,,Singing Sword: Shrieking,,,,5 Turns,Singing Sword: Shriek,,,,,,,,,,,,,FALSE,,,,,,Self,Phalar Aluve: Shriek is a class action granted by the Phalar Aluve. It is a variant of Phalar Aluve: Melody. The sword penalises nearby enemies' Saving Throws and Attack Rolls and causes them to take additional ⁠Thunder damage whenever they are damaged.,The sword Shrieks. All enemies within 6 m / 20 ft of range have a 1d4 penalty to all[See: Bugs] Saving throws. Affected creatures receive an extra 1d4⁠ThunderDRS damage. The sword will stop shrieking if unequipped.,,,,,,Greatsword Slash,,,
Phalar Aluve: Sing,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,6.0m,Radius,,,FALSE,FALSE,FALSE,,,,Short Rest,,,,,,FALSE,,Singing Sword: Singing,,,,5 Turns,Singing Sword: Song,,,,,,,,,,,,,FALSE,,,,,,Self,Phalar Aluve: Sing is a class action granted by the Phalar Aluve. It is a variant of Phalar Aluve: Melody. The sword boosts your allies' mental defences and gives them a bonus to their Attack Rolls.,The sword sings a melody. All allies within 6 m / 20 ft of range have a 1d4 bonus to Attack rolls and Saving throws[See: Bugs]. The sword will stop singing if unequipped.,,,,,,Halberd Slash,,,
Phantasmal Force,,Action,Level 2 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Illusion,2,,,,FALSE,,Phantasmal Force,INT,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,,"Phantasmal Force is a level 2 illusion spell. It allows spellcasters to flood a target creature's mind with an illusion of the last thing that attacked it, dealing 1d6⁠⁠Psychic damage per turn, changing to the last type of damage inflicted upon the target.","Deal damage to a creature each turn. At the start of its turn, it takes ⁠Psychic damage. Each subsequent time it takes damage, the damage type of Phantasmal Force changes to match that damage type.",Casting this spell at a higher level grants no additional benefit.,,,,,Hand Me My Leech,,,
Phantasmal Killer,,Action,Level 4 Spell,,,,,FALSE,TRUE,TRUE,FALSE,4d10,Psychic,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Illusion,4,,,,FALSE,,Phantasmal Killer,WIS,,Spell Save DC,10 Turns,,,,,,1d10,,,,,,,Psychic,FALSE,,,,,,,"Phantasmal Killer is a level 4 illusion spell. It allows spellcasters to temporarily haunt a creatures mind with illusions, dealing damage, preventing movement, and imposing Disadvantage on Ability Checks and Attack Rolls.","Haunt a creature with illusions of its greatest fears. It takes 4d10⁠Psychic Damage per turn, cannot move, has Disadvantage on Ability Checks and Attack Rolls","Upcast: When this spell is cast at 5th level or higher, it deals an additional 1d10⁠Psychic damage per level per turn.",,,,,Hand Me My Trepan,,,
Phantasms,,Action,Movement Speed,15,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,100.0m,,,,,FALSE,FALSE,FALSE,,,,Per Combat,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Phantasm,,,,"Phantasms is an action available to Cloakers that lets them summon up to three illusory duplicates of themselves at the start of combat. On Tactician difficulty, the number of illusions is increased to four.",Fill the shadows with three illusory duplicates of yourself that can hurt and Frighten creatures with their haunting Moans.,,,,,,Haste Spores,,,
Pierce,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,STR or DEX,Slashing,2d8,Slashing,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,Melee Unarmed,,Unarmed,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Pierce is a class action available to the Coin Halberd. The coin halberd uses this action to deal ⁠Slashing damage to enemies.,The coin halberd pierces its opponent with gleaming precision.,,,,,,Have Nice Gift!,,,
Piercing Growl,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,3d8+4,Piercing,,,,,,,,,,,,9.0m,Cone,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,Target still takes full damage,"Bleeding,Fearful",CON,,Spell Save DC,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Piercing Growl is a special class action available to the Slayer. The Slayer howls so fiercely that nearby foes are wounded.,"Fierce howls rise from your guts and wound nearby foes, possibly inflicting Bleeding and Fear.",,,,,,Healing Incense Aura,,,
Piercing Shot,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,,,,,,,,,,,18.0m,,,,,TRUE,TRUE,FALSE,Ranged,,Ranged,Short Rest,,,,,,FALSE,,Gaping Wounds,CON,,Weapon Action DC + 2,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,"Piercing Shot is a weapon action available to characters proficient in and wielding a hand crossbow, heavy crossbow, or light crossbow in their main hand.",Deal regular damage and possibly inflict Gaping Wounds which cause extra damage on attacks. Undead and Constructs can't receive Gaping Wounds.,,,,,,Healing Radiance,,,
Piercing Strike,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,,,,,,,,,,,1.5m,,,,,TRUE,TRUE,FALSE,Melee,,Melee,Short Rest,,,,,,FALSE,,Gaping Wounds,CON,,Weapon Action DC + 2,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,"Piercing Strike is a weapon action available to characters proficient in and wielding a dagger, javelin, pike, rapier, shortsword, trident, or war pick in their main hand.",Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't receive Gaping Wounds.,,,,,,Hellcrawler,,,
Pin Down,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,,,,,,,,,,,18.0m,,,,,FALSE,TRUE,FALSE,Ranged,,Ranged,Short Rest,,,,,,FALSE,,Pinned Down,,,,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Pin Down is an NPC-exclusive weapon action which hinders a target's movement speed with a ranged attack.,Deal regular damage and reduce target's Movement Speed by 3 m / 10 ft.,,,,,,Help (bonus action),,,
Planar Ally,,Action,Level 6 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,"Planar Ally: Cambion, Planar Ally: Deva, Planar Ally: Djinni",,,,,,"Planar Ally is a level 6 conjuration spell. It allows spellcasters to summon an Elemental, Celestial, or Fiend for aid.","Beseech one of these otherworldly entities for aid. Summon either an Elemental, Celestial, or Fiend to fight for you.",Casting this spell at a higher level grants no additional benefit.,,,,,Hexblade's Curse,,,
Planar Ally: Cambion,,Action,Level 6 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Cambion,,,,"Planar Ally: Cambion is a level 6 conjuration spell. This spell is a variant of the Level 6 Conjuration Spell, Planar Ally. It allows spellcasters to summon a Fiend for aid.",Conjure a Cambion to fight alongside you.,Casting this spell at a higher level grants no additional benefit.,,,,,Hound of Ill Omen,,,
Planar Ally: Deva,,Action,Level 6 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Deva,,,,"Planar Ally: Deva is a level 6 conjuration spell. This spell is a variant of the Level 6 Conjuration Spell, Planar Ally. It allows spellcasters to summon a Celestial for aid.","Conjure a Celestial Deva to fight alongside you. It can cast Wrathful Smite, Revivify, and Concussive Smash.",Casting this spell at a higher level grants no additional benefit.,,,,,Houndmaster's Mark,,,
Planar Ally: Djinni,,Action,Level 6 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,6,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,Djinni,,,,"Planar Ally: Djinni is a level 6 conjuration spell. This spell is a variant of the Level 6 Conjuration Spell, Planar Ally. It allows spellcasters to summon an Elemental for aid.","Conjure a powerful djinni to fight alongside you. It can cast Sweetplum Gales, Thunderwave, and Drunken Inhale.",Casting this spell at a higher level grants no additional benefit.,,,,,Illuminating Shot,,,
Planar Binding,,Action,Level 5 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,5,,,,FALSE,,Seized by Planar Binding,WIS,,Spell Save DC,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,"1 celestial, elemental, fey, or fiendish creature","Planar Binding is a level 5 abjuration spell. It allows spellcasters to take control of a Celestial, Elemental, Fey, or Fiend.","Target an otherworldly creature and attach its consciousness to your own. It will follow and fight for you as an ally. Target must be a Celestial, Elemental, Fey, or a Fiend.",Casting this spell at a higher level grants no additional benefit.,,,,,Improved Bardic Inspiration (class action),,,
Plant Growth,,Action,Level 3 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,3,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Plant Growth,,,,,"Plant Growth is a level 3 transmutation spell. It allows spellcasters to cause an area to expel weeds from the ground, quartering the movement speed of all creatures travelling through the area.",Make weeds burst from the ground and smother the area. Creatures moving through the weeds have their Movement Speed quartered.,Casting this spell at a higher level grants no additional benefit.,,,,,Improvised Melee Weapon (Bonus Action),,,
Pluck Soul,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,CHA,Necrotic,1d6,Necrotic,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,,,CON,,Spell Save DC,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Pluck Soul is a special class action available to the Feeble Spectre and the Mundane Spectre.,Pull your warlock's enemy towards you up to 5 m / 17 ft.,,,,,,Incubate Death,,,
Poison Breath,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,2d6,Poison,,,,,,,,,,,,5.0m,Cone,,,FALSE,FALSE,FALSE,,,,Short Rest,,,CON,8,CON+Prof,TRUE,,,,,,,,,,,,,6,1d6⁠⁠,11,2d6,,,Poison,FALSE,,,,,,Self,Poison Breath is a Dragonborn racial action. This ability allows them to breathe a cone of poisonous breath in a target direction.,Spew forth a cone of poison.,"At character level 6, the damage increases to 3d6⁠Poison. At character level 11, the damage increases to 4d6⁠Poison.",,,,,Inkblot,,,
Poison Mist,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,WD,Weapon,Proficiency Bonus,Poison,,,,,,,,,1.5m,,,,,FALSE,TRUE,FALSE,Melee,,Melee,Short Rest,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,Poison Cloud,,,,,Poison Mist is a weapon action granted by Argument Solver.,"On a hit, deal extra ⁠Poison damage equal to your proficiency bonus and surround the target in a noxious cloud that possibly Poisons those within it.",,,,,,Inquisitor's Might,,,
Poison Spray,,Action,,,,,,TRUE,FALSE,FALSE,FALSE,1d12,Poison,,,,,,,,,,,3.0m,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,,CON,,Spell Save DC,FALSE,Damage is negated,,,,,,,,,,,,5,1d12,10,2d12,,,Poison,FALSE,,,,,,,Poison Spray is a cantrip (Conjuration). It allows spellcasters to deal ⁠Poison damage to a target.,"Project a puff of noxious gas, dealing 1d12⁠Poison to a target.","At character level 5, the damage increases to 2d12⁠Poison. At character level 10, the damage increases to 3d12⁠Poison.",,,,,Invisibility (class action),,,
Polymorph,,Action,Level 4 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,4,,,,FALSE,,Polymorphed,WIS,,Spell Save DC,5 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Polymorph is a level 4 transmutation spell. It transforms a creature into a sheep.,"Transform a creature into a harmless sheep. If the sheep's Hit Points drop to 0, the target reverts to its original form with its original Hit Points.",Casting this spell at a higher level grants no additional benefit.,,,,,Jump,,,
Polymorph: Dire Raven,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,Long Rest,,,,,,FALSE,,Polymorphed: Dire Raven,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,Self,Polymorph: Dire Raven is a class action granted by the Corvid Token that transforms the wearer into a Dire Raven once per Long Rest.,Take the shape of a dire raven that can avoid attention and Blind enemies. It has 13 hit points.,,,,,,Jump (Frog),,,
Possession,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,Per Turn,Enchantment,5,,,,FALSE,,Malefic Possession,CHA,15,,10 Turns,Possessing,,,,10 Turns,,,,,,,,,FALSE,,,,,,,"Possession is a level 5 enchantment spell. It allows spellcasters to possess a creature, forcing it to do their bidding and dealing ⁠Necrotic damage every turn. It cannot be learned by players and is only used by NPCs.","Possess a creature, forcing it to act according to your will and dealing 4d8⁠Necrotic damage to it every turn. While possessing another creature, you cannot be targeted by spells or attacks.",Casting this spell at a higher level grants no additional benefit.,,,,,Ki Resonation: Punch (Bonus Action),,,
Potent Concentrated Blast,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,9d6,Psychic,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,TRUE,,,,Per Turn,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,9d6⁠Healing (If target is concentrating),,"Potent Concentrated Blast is an action and Illithid Power available to The Emperor and Full-Illithids during the final battle. This ability deals 9d6⁠Psychic damage to an enemy. If the target is concentrating on a spell, the caster is healed for an amount equal to the damage dealt. Unlike the basic version of this power, this action does not require the caster to be concentrating, nor does it break the caster's concentration.","Blast a creature with sapping psychic energy. If the target was concentrating on a spell, you heal equal to the damage dealt.",,,,,,Lacerate (Spiritual Weapon),,,
Pounce,,Action,Movement Speed,,,,,FALSE,FALSE,FALSE,FALSE,DEX,Piercing,2d8,Piercing,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,Per Turn,,,,,,FALSE,,Prone,STR,,Spell Save DC,2 Turns,,,,,,,4,1d6,8,1d8,12,1d10,Piercing,FALSE,,,,,,,"Pounce is an action available in Wild Shape: Panther form. It can be used to knock a target Prone, making it susceptible to Jugular Strike.",Leap at a target to bite it and potentially knock it Prone.,"At level 4, this attack deals an additional 1d6⁠Bludgeoning damage. At level 8, this additional damage becomes 1d8⁠Bludgeoning. At level 12, this additional damage becomes 1d10⁠Bludgeoning.",,,,,Launch Protocol: Bola,,,
Power Word Kill,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,Enchantment,9,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,"Power Word Kill is a level 9 enchantment spell. It kills an enemy, and can only be used once per campaign.",Compel an enemy with 100 Hit Points or fewer to die instantly. Limited to one use only.,Casting this spell at a higher level grants no additional benefit.,,,,,Leadership,,,
Power Word: Ruin,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,30d6+120,Force,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,,,,,Transmutation,9,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Power Word: Ruin is a level 9 transmutation spell. It causes significant destruction with three magical beams.,"Speak a word of disaster into the Galerian Weave, calling forth three beams of pure destruction that each deal 10d6+40⁠Force damage.",Casting this spell at a higher level grants no additional benefit.,,,,,Left Coin Whip,,,
Prayer of Healing,,Action,Level 2 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,9.0m,Radius,,,FALSE,FALSE,FALSE,,,,,Evocation,2,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2d8 + Spellcasting modifier⁠Healing,Self,Prayer of Healing is a level 2 evocation spell. It allows clerics to heal all allies outside of combat.,Heal all allies you can see within range. Can only be used outside of combat.No effect on undead and constructs.,"Upcasting: When the spell is cast at 3rd Level or higher, heal a target an extra 1d8⁠hit points for each spell slot level above 2nd.",,,,,Lightning Blast,,,
Preserve Life,,Action,Channel Divinity Charge,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,9.0m,Radius,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,3 × Character level⁠Healing,Self,Preserve Life is a Channel Divinity action available to Life Domain clerics. This ability allows these clerics to heal their allies.,Evoke a healing energy that restores 3 × Character level⁠⁠hit points to allied creatures. Has no effect on undead and constructs.,,,,,,Lunar Mend,,,
Primal Stampede,,Action,Movement Speed,,,,,FALSE,FALSE,FALSE,FALSE,STR,Bludgeoning,1d4,Bludgeoning,,,,,,,,,,9.0m,Line,,,FALSE,FALSE,FALSE,Melee Unarmed,,Unarmed,,,,,,,FALSE,,Prone,STR,10,STR,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,All non-allied creatures in the path,"Primal Stampede is a Wildheart barbarian class action only available while using Rage: Elk Heart, allowing you charge in a line dealing damage to all enemies and knocking them prone.","Charge forward, attacking all enemies in the way and possibly knocking them Prone. Available only when Raging.Does not provoke Opportunity Attacks.",,,,,,Magic Awareness,,,
Primordial Gales,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,2d6,Lightning,,,,,,,,,,,,4.0m,Radius,,,FALSE,FALSE,FALSE,,,,,,,,,,TRUE,,Shocked,STR,,Spell Save DC,2 Turns,,,,,,,,,,,,,,FALSE,,,,,,Self,Primordial Gales is an action unique to Air Elementals. It can Shock all nearby creatures making them susceptible to the elemental's Multiattack.,"Gales of cackling stormy wind swirl around you, battering at nearby creatures and Shocking them.",,,,,,Mantle of Inspiration,,,
Produce Flame,,Action,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,,,,,FALSE,,Produce Flame,,,,Long Rest,,,,,,,5,1d8,10,2d8,,,Fire,FALSE,"Produce Flame: Dismiss, Produce Flame: Hurl",,,,,Self,Produce Flame is a cantrip (Conjuration). It creates a blue flame in the caster's palm which emanates light and can be thrown at enemies.,A flame in your hand sheds a light in a 9 m / 30 ft radius and deals 1d8⁠Fire damage when thrown. Throwing the flame immediately after you conjure it does not cost an  Action. Extinguishing or throwing it on subsequent turns costs an action. The throw has a range of 9 m / 30 ft.,"At character level 5, the damage of the hurled flame increases to 2d8⁠Fire. At character level 10, the damage of the hurled flame increases to 3d8⁠Fire.",,,,,Mantle of Majesty: Approach,,,
Produce Flame: Dismiss,,Action,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,Conjuration,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,Self,"Produce Flame: Dismiss is a cantrip (Conjuration). Douses the flames in your hand, created after first casting Produce Flame.",Put out the conjured flame in your hand.,,,,,,Mantle of Majesty: Command,,,
Produce Flame: Hurl,,Action,,,,,,TRUE,FALSE,FALSE,FALSE,1d8,Fire,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,FALSE,Ranged Spell,,,,Conjuration,,,,,FALSE,,,,,,,,,,,,,5,1d8,10,2d8,,,Fire,FALSE,,,,,,,Produce Flame: Hurl is a cantrip (Conjuration). It throws the flame you conjured in your hand by Produce Flame at a target.,Hurl the conjured flame in your hand at a target and let it sizzle out.,"At character level 5, the damage increases to 2d8⁠Fire. At character level 10, the damage increases to 3d8⁠Fire.",,,,,Mantle of Majesty: Drop,,,
Profane Scourge,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,Proficiency Bonus,Slashing,WD,Weapon,2d6,Slashing,,,,,,,1.5m,,,,,TRUE,TRUE,FALSE,Melee,,Melee,Short Rest,,,,,,FALSE,,Bane,STR,,Weapon Action DC + 2,3 Turns,,,,,,,,,,,,,,FALSE,,,,,,,Profane Scourge is a weapon action granted by The Undead Bane.,"Strike with subjugating fury, adding your proficiency bonus to the damage roll. If you hit a Fiend or Undead creature, deal an additional 2d6⁠SlashingDRS damage and possibly Bane it.",,,,,,Mantle of Majesty: Flee,,,
Protection from Energy,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,3,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,"Protection from Energy: Acid, Protection from Energy: Cold, Protection from Energy: Fire, Protection from Energy: Lightning, Protection from Energy: Thunder",,,,,,Protection from Energy is a level 3 abjuration spell. It allows spellcasters to grant a creature they touch Resistance to an element of their choice.,"Touch a creature to grant it Resistance to ⁠Acid, ⁠Cold, ⁠Fire, ⁠Lightning, or ⁠Thunder damage.",Casting this spell at a higher level grants no additional benefit.,,,,,Mantle of Majesty: Grovel,,,
Protection from Energy: Acid,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,3,,,,FALSE,,Protection from Energy: Acid,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,Protection from Energy: Acid is a level 3 abjuration spell. This spell allows spellcasters to grant a creature they touch Resistance to Acid damage.,Touch a creature to grant it Resistance to ⁠Acid damage.,Casting this spell at a higher level grants no additional benefit.,,,,,Mantle of Majesty: Halt,,,
Protection from Energy: Cold,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,3,,,,FALSE,,Protection from Energy: Cold,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,Protection from Energy: Cold is a level 3 abjuration spell. This spell allows spellcasters to grant a creature they touch Resistance to Cold damage.,Touch a creature to grant it Resistance to ⁠Cold damage.,Casting this spell at a higher level grants no additional benefit.,,,,,Maul Blow,,,
Protection from Energy: Fire,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,3,,,,FALSE,,Protection from Energy: Fire,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,Protection from Energy: Fire is a level 3 abjuration spell. This spell allows spellcasters to grant a creature they touch Resistance to Fire damage.,Touch a creature to grant it Resistance to ⁠Fire damage.,Casting this spell at a higher level grants no additional benefit.,,,,,Mental Instruction,,,
Protection from Energy: Lightning,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,3,,,,FALSE,,Protection from Energy: Lightning,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,Protection from Energy: Lightning is a level 3 abjuration spell. This spell allows spellcasters to grant a creature they touch Resistance to Lightning damage.,Touch a creature to grant it Resistance to ⁠Lightning damage.,Casting this spell at a higher level grants no additional benefit.,,,,,Mighty Impel,,,
Protection from Energy: Thunder,,Action,Level 3 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,3,,,,FALSE,,Protection from Energy: Thunder,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,Protection from Energy: Thunder is a level 3 abjuration spell. This spell allows spellcasters to grant a creature they touch Resistance to Thunder damage.,Touch a creature to grant it Resistance to ⁠Thunder damage.,Casting this spell at a higher level grants no additional benefit.,,,,,Mindbreak,,,
Protection from Evil and Good,,Action,Level 1 Spell,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,1,,,,FALSE,,Protection from Evil and Good,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,"Protection from Evil and Good is a level 1 abjuration spell. It allows spellcasters to surround themselves with magical protection against Aberrations, Celestials, Elementals, Fey, Fiends, and Undead.","Protect an ally against the attacks and powers of Aberrations, Celestials, Elementals, Fey, Fiends, and Undead. The targets can't be Charmed, Frightened, or possessed by them[See: Bugs], and when these creatures attack it, they have Disadvantage.",Casting this spell at a higher level grants no additional benefit.,,,,,Misty Escape (Cazador Szarr),,,
Protection from Missiles,,Action,,,,,,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,Short Rest,Abjuration,2,,,,FALSE,,Cindersnap Reflexes,,,,10 Turns,,,,,,,,,,,,,,FALSE,,,,,,Self,Protection from Missiles is a level 2 abjuration spell. It protects the caster against ranged weapon attacks for up to 10 turns.,"Amplify your reflexes to better contend with incoming missiles. Ranged weapon attacks against you have Disadvantage, and their damage is halved.",Casting this spell at a higher level grants no additional benefit.,,,,,Misty Escape (Vampire Ascendant),,,
Protection from Poison,,Action,Level 2 Spell,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,1.5m,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,2,,,,FALSE,,Protection from Poison,,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,,,Protection from Poison is a level 2 abjuration spell. It allows spellcasters to grant the creature they touch protection from Poison and poisonous effects.,"Touch a creature to neutralise all poisons affecting it, and grant it protection against poisonous influences. Grants Advantage on Saving throws against being Poisoned, and Resistance to ⁠Poison damage.",Casting this spell at a higher level grants no additional benefit.,,,,,Mobile Shot,,,
